team,conference,avg_point_sc_home,avg_point_sc_vis,avg_point_sc_tot,avg_point_allowed_home,avg_point_allowed_vis,avg_point_allowed_tot,avg_sc_diff_home,avg_sc_diff_vis,avg_sc_diff_tot,win_perc_home,win_perc_vis,win_perc_tot,total_games,tournament
Abilene Christian,Western Athletic,79.63157894736842,73.41176470588235,76.69444444444444,61,74.88235294117646,67.55555555555556,18.63157894736842,-1.4705882352941178,9.13888888888889,0.8421052631578947,0.5294117647058824,0.6944,36,0
Academy of Art,NA,NA,78.5,78.5,NA,85.5,85.5,NA,-7,-7,NA,0.5,0.5,2,0
Air Force,Mountain West,62.07142857142857,56.2,59.03448275862069,64.85714285714286,67.13333333333334,66.03448275862068,-2.7857142857142856,-10.933333333333334,-7,0.5714285714285714,0.2,0.37929999999999997,29,0
Akron,Mid-American,74.52941176470588,66.76470588235294,70.6470588235294,63.11764705882353,62.1764705882353,62.64705882352941,11.411764705882353,4.588235294117647,8,0.8235294117647058,0.5882352941176471,0.7059000000000001,34,1
Alabama,Southeastern,78.75,80.61538461538461,79.48484848484848,72.95,81.84615384615384,76.45454545454545,5.8,-1.2307692307692308,3.0303030303030303,0.7,0.38461538461538464,0.5758,33,1
Alabama A&M,Southwest Athletic,70.8,56.75,61.43333333333333,66.5,67.25,67,4.3,-10.5,-5.566666666666666,0.7,0.25,0.4,30,0
Alabama St.,Southwest Athletic,71.92307692307692,68.05555555555556,69.6774193548387,70.53846153846153,78.61111111111111,75.2258064516129,1.3846153846153846,-10.555555555555555,-5.548387096774194,0.5384615384615384,0.16666666666666666,0.3226,31,0
Albany,America East,63,61,61.83870967741935,67.3076923076923,64.83333333333333,65.87096774193549,-4.3076923076923075,-3.8333333333333335,-4.032258064516129,0.38461538461538464,0.4444444444444444,0.4194,31,0
Alcorn St.,Southwest Athletic,70.5,64.36363636363636,66.52941176470588,69.75,71.81818181818181,71.08823529411765,0.75,-7.454545454545454,-4.5588235294117645,0.6666666666666666,0.4090909090909091,0.5,34,0
Alice Lloyd,NA,NA,51.333333333333336,51.333333333333336,NA,94.66666666666667,94.66666666666667,NA,-43.333333333333336,-43.333333333333336,NA,0,0,3,0
Allen,NA,NA,51,51,NA,110,110,NA,-59,-59,NA,0,0,1,0
American,Patriot League,66.75,61.5,63.46875,67,73.3,70.9375,-0.25,-11.8,-7.46875,0.5,0.2,0.3125,32,0
American Indian,NA,NA,56.5,56.5,NA,110,110,NA,-53.5,-53.5,NA,0,0,4,0
American International,NA,NA,55,55,NA,70,70,NA,-15,-15,NA,0,0,1,0
Antelope Valley,NA,NA,48,48,NA,82,82,NA,-34,-34,NA,0,0,1,0
Appalachian St.,Sun Belt,68.2,65.5,67.08823529411765,59.2,68.71428571428571,63.11764705882353,9,-3.2142857142857144,3.9705882352941178,0.65,0.42857142857142855,0.5588000000000001,34,0
Aquinas,NA,NA,56,56,NA,67,67,NA,-11,-11,NA,0,0,1,0
